"short_name","domain","type","genetic_model","CD_meaning","H2_meaning","h2","h2_CiL","h2_CiH","h2_gt20","h2_p","h2_p_adj","cd2","cd2_CiL","cd2_CiH","cd2_p","cd2_p_adj","e2","e2_CiL","e2_CiH","e2_p","e2_p_adj","H2","H2_CiL","H2_CiH","H2_signif","rMZ","rDZ","ICC","ICC_CiL","ICC_CiH","ICC_0.75","ICC_0.75_strict","agrGSEM","agrGSEM_CiL","agrGSEM_CiH","agrGSEM_0.75","agrGSEM_0.75_strict","h2_star","h2_star_c","h2_gr","h2_grgr","c2_star","c2_star_c","c2_gr","c2_grgr","F2_star","F2_star_c","F2_gr","F2_grgr","d2_star","d2_star_c","d2_gr","d2_grgr","H2_star","H2_star_c","H2_gr","H2_grgr","ICC_plus","ICC_plusplus","h2_ranking","h2_class","c2_ranking","c2_class","d2_ranking","d2_class"
"MICD","mandible","distance","ACE","C","familiality",0.86798571096478,0.509594721128103,0.900893510879234,TRUE,2.5763274730545e-13,3.76143811065957e-11,0.00633391446937592,0,0.364940528272341,0.977485562258415,1,0.125680374565844,0.0990800101857981,0.159306371588097,7.58397646572354e-105,1.10726056399564e-102,0.874319625434156,0.840693628419046,0.900919989816273,TRUE,0.922500103250646,0.190901610060337,0.982646565594472,0.979735204208908,0.985142802362099,TRUE,TRUE,0.96855731377733,0.962721679166052,0.973575494688246,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0,"I",4,"V",NA,NA
"SHBN","skull","distance","ACE","C","familiality",0.562841316853747,0.314032557294041,0.907472611804557,TRUE,1.98692763513584e-09,2.88104507094697e-07,0.335146525330601,1.19570443680023e-24,0.581823743489128,0.0684610164204042,1,0.102012157815652,0.0773069754708922,0.133767741602557,4.25694534457522e-44,6.04486238929681e-42,0.897987842184348,0.866232258354491,0.922693024529976,TRUE,0.894874685237534,0.521516243705313,0.958604324781209,0.95173394014029,0.964514532057297,TRUE,TRUE,0.937592394165496,0.925938180526217,0.947599868362909,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0,"I",3,"IV",NA,NA
"MIGD","mandible","distance","ACE","C","familiality",0.686488153261192,0.385601261923538,0.905427619751841,TRUE,8.40573669153279e-09,1.21042608358072e-06,0.189927132350849,8.04207111012169e-34,0.486432792750116,0.330191173441427,1,0.123584714387958,0.0906333651971298,0.165833552755753,1.38646689937174e-28,1.71921895522096e-26,0.876415285612042,0.834166447294526,0.909366634799554,TRUE,0.905611413252104,0.412374988102531,0.946131049536725,0.937294882853328,0.95375178236107,TRUE,TRUE,0.893852808240034,0.874947904042734,0.910319271410111,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0,"I",4,"V",NA,NA
"SBAN","skull","distance","ACE","C","familiality",0.661820711356063,0.357049874597946,0.916293384770639,TRUE,1.68548481670553e-07,2.41024328788891e-05,0.223195691404414,5.93637491388219e-27,0.519360169362442,0.255934260274858,1,0.114983597239523,0.0784808481138005,0.162210670886067,2.03902579635552e-15,1.79434270079286e-13,0.885016402760477,0.837789329179267,0.921519151880695,TRUE,0.834757684332518,0.439115439739961,0.894212759649757,0.877281040546082,0.908921722153848,TRUE,TRUE,0.847841399614897,0.821135503860571,0.871160255812577,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0,"I",3,"IV",NA,NA
"SNAM","skull","distance","ACE","C","familiality",0.776116935916794,0.395635156249486,0.875087766936815,TRUE,7.92173988726989e-07,0.000112488706399232,0.055112073411894,8.15480848872232e-28,0.428130082261934,0.811787579702773,1,0.168770990671312,0.12474621370033,0.22432829246559,2.02481230888251e-28,2.45002289374784e-26,0.831229009328688,0.775671702343918,0.875253786414361,TRUE,0.810842833438739,0.348132315451877,0.901733729007852,0.886001157915259,0.915392505967166,TRUE,TRUE,0.859163323467311,0.835052158292688,0.880275070128669,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0,"I",4,"V",NA,NA
"SNAP","skull","distance","ACE","C","familiality",0.786866895503178,0.404581135625454,0.884882846088214,TRUE,9.46176364084453e-07,0.000133410867335908,0.0521171512501857,1.10027123941465e-33,0.426177364099841,0.819399193165158,1,0.161015953246636,0.115117655607397,0.219205057694325,2.16689458161316e-20,2.34024614814221e-18,0.838984046753364,0.780794942348757,0.884882344390602,TRUE,0.790250330669958,0.380095067419564,0.880125302040243,0.861201903947211,0.896612044470837,TRUE,TRUE,0.829846393541926,0.801215534022963,0.855016155771733,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0,"I",4,"V",NA,NA
"MCGP","mandible","angle","ACE","C","familiality",0.744580737316703,0.38145374130236,0.864105912970794,TRUE,3.0673464596435e-06,0.00042942850435009,0.0734853205337,1.41167419070539e-38,0.441564489033884,0.746941375438754,1,0.181933942149597,0.135570528835218,0.240501375607607,1.13011707515318e-30,1.43524868544454e-28,0.818066057850403,0.759498624402894,0.864429471171525,TRUE,0.726418739578564,0.439610564729347,0.865220137120723,0.844120855844497,0.883643687160243,TRUE,TRUE,0.859106512693954,0.834904152112929,0.880249715383814,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0,"I",4,"V",NA,NA
"SSEG","skull","distance","ACE","C","familiality",0.768960216236365,0.37952331494045,0.829015380899605,TRUE,5.2078497504957e-06,0.000723891115318902,0.00866908161218042,0,0.3874584209981,0.969391595282056,1,0.222370702151455,0.170957492229071,0.286634823528696,2.99660634762727e-48,4.285147077107e-46,0.777629297848545,0.713365176436775,0.82904250774916,TRUE,0.723781686498583,0.375304278949132,0.895277623054995,0.878577415828451,0.909791215923138,TRUE,TRUE,0.881923119995011,0.861593924255288,0.899689399613632,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0,"I",4,"V",NA,NA
"SBNA","skull","distance","ACE","C","familiality",0.665169104566515,0.32033740545906,0.874499268880912,TRUE,5.75615549148926e-06,0.000794349457825518,0.168726456581088,2.14649841864813e-33,0.505825277432825,0.442931157999421,1,0.166104438852396,0.122805488605234,0.221214823593112,8.03764940845253e-30,1.00470617605657e-27,0.833895561147604,0.778785176437814,0.877194511399115,TRUE,0.786569132758899,0.37472133932903,0.897683653300213,0.881315035144217,0.911900484391973,TRUE,TRUE,0.867393976088524,0.844321961548489,0.887624825225571,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0,"I",4,"V",NA,NA
"MCGM","mandible","angle","ACE","C","familiality",0.665765913196643,0.43304540506281,0.848214344813677,TRUE,1.73520982069522e-05,0.00237723745435245,0.137182104657316,2.33875659139547e-42,0.484488799704685,0.535991781525457,1,0.197051982146041,0.149968638987227,0.256298463515619,1.91457274526252e-41,2.68040184336753e-39,0.802948017853959,0.743701536473031,0.850031361001602,TRUE,0.727111067194172,0.454267250398308,0.88513806130705,0.866934411378946,0.900983491748322,TRUE,TRUE,0.881014617084725,0.860306534370024,0.89909612711569,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0,"I",4,"V",NA,NA
