Name,Abbreviation,Semi,Description,Notes
head top,ht,No,A point on the top of the head situated above the basion and in the midsagittal plane.,
head back,hb,No,A point on the back of the head in the midsagittal plane directly posterior to the highest point of the cerebellum.,
nose tip,nt,No,A point on the most anterior part of the nose.,
head side left,hsl,No,"A location on the left side of the head, deep within the pinna which marks the highest point of the external auditory meatus.",This point is comparable to the porion.
head side right,hsr,No,"A location on the right side of the head, deep within the pinna which marks the highest point of the external auditory meatus.",This point is comparable to the porion.
basion,b,No,Most inferior posterior point in the midsagittal plane on the anterior rim of the foramen magnum.,Immediately superior and anterior to the odontoid and posterior and superior to the atlas.
odontoid,o,No,Tip of the odontoid process of C2 in the midsagittal plane.,This landmark is very close to the basion.
atlas,a,No,Most anterior point in the midsagittal plane of the anterior arch of the atlas (C1).,It is a point on the tip of the anterior tubercle.
C2 base,c2b,No,Most anterior and inferior point of the body of C2 (axis) in the midsagittal plane.,
C3 base,c3b,No,Most anterior and inferior point of the body of C3 in the midsagittal plane.,
C4 base,c4b,No,Most anterior and inferior point of the body of C4 in the midsagittal plane.,This might not be visible for all participants.
C5 base,c5b,No,Most anterior and inferior point of the body of C5 in the midsagittal plane.,This might not be visible for all participants.
sella,s,No,"The center of the sella turcica, bony seat of the pituitary gland.",The point should be positioned in the midsagittal plane and located directly below the pituitary infundibulum (stalk).
nasion,n,No,Anterior limit of the naso-frontal suture in the midsagittal plane. The bony part of where the top of the bridge of the nose connects with the bony part of the brow.,
nasal spine posterior,nsp,No,Posterior most point of the hard palate in the midsagittal plane at the junction of the soft palate and nasal septum (vomer bone).,
nasal spine anterior,nsa,No,Apex of the anterior projection of the maxilla above the incisive bone.,
hard palate posterior,hpp,No,A point on the midsagittal palatal contour defined by posterior aspects of M2 in the coronal plane.,"This landmark should be close to the visible junction between the soft and hard palates, and it should be approximately directly below the vomer-palatine junction. Defines the posterior landmark for the hard palate midsagittal semilandmarks."
hard palate anterior,hpa,No,Defines the anterior landmark for the hard palate midsagittal semilandmarks.,This point is located at the lingual gingival margin of the interdental space between the central incisors.
uvula,u,No,The apex of the uvula.,May be easiest to locate in the axial plane.
prosthion,pr,No,A location above the central incisors on the alveolar bone of the maxilla located in the midsagittal plane.,Also known as the alveolar point.
pogonion,pg,No,A point on the most prominent part of the mandibular symphysis in the midsagittal plane.,"This landmark is always on the anterior aspect of the bone in comparison to the gnathion, which is found on the inferior aspect."
menton,m,No,A point on the lower border of the mandibular symphysis in the midsagittal plane.,"This landmark is always on the inferior aspect of the bone in comparison to the pogonion, which is found on the anterior aspect."
apex inferior,ai,No,Root apex of the right-sided mandibular central incisor.,Right side only. Can be found by starting in the midsagittal plane and then searching laterally to the right for the sagittal plane which contains the best image of this incisor.
apex superior,as,No,Root apex of the right-sided maxillary central incisor.,Right side only. Can be found by starting in the midsagittal plane and then searching laterally to the right for the sagittal plane which contains the best image of this incisor.
incision inferior,ii,No,A point on the incisive edge of the right-sided mandibular central incisor.,Right side only. Can be found by starting in the midsagittal plane and then searching laterally to the right for the sagittal plane which contains the best image of this incisor.
incision superior,is,No,A point on the incisive edge of the right-sided maxillary central incisor.,Right side only. Can be found by starting in the midsagittal plane and then searching laterally to the right for the sagittal plane which contains the best image of this incisor.
