long.names.rater1,long.names.rater2,short.names,domain,type,description,phenotype_full_name
skullAngle_AANP_nasionNSA_nasionProsthion_angle.1,skullAngle_AANP_nasionNSA_nasionProsthion_angle.2,AANP,skull,angle,Angle between the line from nasion to the anterior nasal spine and the line from nasion to prosthion,SKULLANGLE_AANP_NASIONNSA_NASIONPROSTHION_ANGLE
skullAngle_AASN_nasionNSA_nasionSella_angle.1,skullAngle_AASN_nasionNSA_nasionSella_angle.2,AASN,skull,angle,Angle between the line from nasion to the anterior nasal spine and the line from nasion to sella,SKULLANGLE_AASN_NASIONNSA_NASIONSELLA_ANGLE
skullAngle_ABSN_sellaBasion_sellaNasion_angle.1,skullAngle_ABSN_sellaBasion_sellaNasion_angle.2,ABSN,skull,angle,Angle between the line from sella to basion and the line from sella to nasion,SKULLANGLE_ABSN_SELLABASION_SELLANASION_ANGLE
skullAngle_ACSN_sellaConylionMean_sellaNasion_angle.1,skullAngle_ACSN_sellaConylionMean_sellaNasion_angle.2,ACSN,skull,angle,Angle between the line from sella to the mean location of the condyles and the line from sella to the nasion,SKULLANGLE_ACSN_SELLACONYLIONMEAN_SELLANASION_ANGLE
skullAngle_ALNS_nasionSellaLine_nsaNspLine_angle.1,skullAngle_ALNS_nasionSellaLine_nsaNspLine_angle.2,ALNS,skull,angle,Angle between line from nasion to sella and the nasal cavity floor,SKULLANGLE_ALNS_NASIONSELLALINE_NSANSPLINE_ANGLE
skullAngle_ANNF_nsaNsp_sellaFranfortPlanePerp_angle.1,skullAngle_ANNF_nsaNsp_sellaFranfortPlanePerp_angle.2,ANNF,skull,angle,Angle between the floor of the nasal cavity and the Frankfort horizontal plane,SKULLANGLE_ANNF_NSANSP_SELLAFRANFORTPLANEPERP_ANGLE
skullAngle_ANSF_sellaNasion_sellaFranfortPlanePerp_angle.1,skullAngle_ANSF_sellaNasion_sellaFranfortPlanePerp_angle.2,ANSF,skull,angle,Angle between the line from nasion to sella and the Frankfort horizontal plane,SKULLANGLE_ANSF_SELLANASION_SELLAFRANFORTPLANEPERP_ANGLE
skullAngle_APNP_nasionPogonion_nasionProsthion_angle.1,skullAngle_APNP_nasionPogonion_nasionProsthion_angle.2,APNP,skull,angle,Angle between the line from nasion to pogonion and the line from nasion to prosthion,SKULLANGLE_APNP_NASIONPOGONION_NASIONPROSTHION_ANGLE
skullAngle_APNS_nasionPogonion_nasionSella_angle.1,skullAngle_APNS_nasionPogonion_nasionSella_angle.2,APNS,skull,angle,Angle between the line from nasion to pogonion and the line from nasion to sella,SKULLANGLE_APNS_NASIONPOGONION_NASIONSELLA_ANGLE
skullAngle_APSN_sellaNSP_sellaNasion_angle.1,skullAngle_APSN_sellaNSP_sellaNasion_angle.2,APSN,skull,angle,Angle between the line from sella to the posterior nasal spine and the line from sella to nasion,SKULLANGLE_APSN_SELLANSP_SELLANASION_ANGLE
