"phenotype_name","phenotype_number","phenotype_name_short","numObs","numParams","observedStatistics","degreesOfFreedom","AIC","BIC","fit","statusCode","genetic_model","CD_meaning","H2_meaning","twin_correlations","twin_corr_rMZ","twin_corr_rDZ","A","A_CiL","A_CiH","A_deltaAIC","A_p","CD","CD_CiL","CD_CiH","CD_deltaAIC","CD_p","E","E_CiL","E_CiH","E_deltaAIC","E_p","h2","h2_CiL","h2_CiH","cd2","cd2_CiL","cd2_CiH","H2","H2_CiL","H2_CiH","e2","e2_CiL","e2_CiH","rh2","rh2_CiL","rh2_CiH","rcd2","rcd2_CiL","rcd2_CiH","rH2","rH2_CiL","rH2_CiH","re2","re2_CiL","re2_CiH","rerr2","rerr2_CiL","rerr2_CiH","rreliability","rreliability_CiL","rreliability_CiH","Comments","rMZ","rDZ","classic_h2"
"cervicalSpine_CS2A_c2base_odontoid_distance",7,"CS2A",340,9,1248,1239,385.801847259278,-4358.26177295977,2863.80184725928,"OK","ACE","C","familiality","corrected",1.02545546673344,0.561167906140702,0.350446577319519,0.1238704948618,0.47718872338918,9.45489801415806,0.000713058023885406,0.0466331995997245,NA,0.281620567436386,-1.89872204816538,0.750301398440133,5.33626274361231e-15,NA,0.0331752537139068,-2.0000000001819,1,0.882559620735323,0.363671608614111,1,0.117440379264663,7.90947165002243e-37,0.662399807775044,0.999999999999987,0.918775811932033,NA,1.34387673555521e-14,NA,0.0812253343043761,0.456787842251508,0.160507135868123,0.571263921541921,0.0607838112883621,1.13866145811908e-27,0.355758302369041,0.517571653539871,0.460539044609746,0.572613003251483,6.95552504175083e-15,NA,0.0431087268996834,0.482428346460122,0.427386996614608,0.539460955366404,0.517571653539878,0.460539044685775,0.572613003392918,"OK",0.695551785850816,0.242391486179376,0.90632059934288
"cervicalSpine_CS2H_atlas_c2base_distance",1,"CS2H",340,9,1250,1241,560.487420885458,-4191.23409056881,3042.48742088546,"OK","ADE","D","broad sense heritability","corrected",0.87847270970748,0.173193895989905,2.73559049676041e-11,NA,0.472704705385821,-2.00000000030013,1,0.408635321886233,6.62324031342047e-44,0.50345277205294,0.000106098581454717,0.157288196909193,0.0569252502292017,NA,0.112768258064952,3.64750734436984,0.0174802026249054,5.87590672502521e-11,NA,0.938838498840987,0.877727510311809,1.48312841491365e-30,0.940411876563703,0.877727510370568,0.764311783649071,0.946996134775989,0.122272489629432,0.0519476129994612,0.235688216485864,3.16177812351575e-11,NA,0.515502419955174,0.472298109956795,2.40111157118691e-28,0.536559568137056,0.472298109988412,0.402392296375118,0.536559568131678,0.0657938427054397,0.0108140095517335,0.129616863944442,0.461908047306148,0.404139092401044,0.524326396021378,0.538091952693852,0.475673604021854,0.595860907581575,"OK",0.604889997083722,0.0806432663662866,1.04849346143487
"cervicalSpine_CS3H_c2base_c3base_distance",2,"CS3H",340,9,1255,1246,491.489495714515,-4279.3767438278,2983.48949571452,"OK","ACE","C","familiality","corrected",0.800076862513981,0.698594631658408,0.0740643104449859,0,0.340238975322081,-1.61661482163618,0.535797091168027,0.217894574212471,1.79568734852249e-44,0.358490184085123,0.455390122513563,0.117122066426379,0.0729546372249063,NA,0.130955919511853,6.76964125490895,0.00306285684653791,0.202964006548549,1.89818998911773e-34,0.892557617238345,0.597112907980191,3.38889253071846e-37,0.900436732879588,0.800076914528739,0.655598857641235,0.931252626209693,0.199923085471261,0.0687473632107445,0.34440114329933,0.0965720578650291,5.22450633205919e-28,0.427619378952761,0.284111568755544,2.3240263136947e-11,0.437078959214041,0.380683626620573,0.305883611029071,0.451004457058822,0.0951251608943161,0.0303670464679806,0.169200860759154,0.524191212485111,0.462074555230939,0.590390602498339,0.475808787514889,0.409609397567597,0.537925444552031,"OK",0.521002187658008,0.322439510055381,0.397125355205254
"cervicalSpine_CS4H_c3base_c4base_distance",3,"CS4H",340,9,1252,1243,565.911012460157,-4193.46839022933,3051.91101246016,"OK","ACE","C","familiality","corrected",0.498376419659218,0.718114658327857,1.83495906537177e-17,NA,0.140183998577619,-2.00000000051068,1,0.211883900777579,0.145802210145423,0.286803651836687,5.03146716233005,0.00800897107140894,0.166519271764836,NA,0.237038346095694,33.6978769248371,2.30414982662276e-09,4.84921691602912e-17,NA,0.317859247582081,0.559942189051888,0.40326648657122,0.702121315676348,0.559942189051888,0.403267298293525,0.702121315677918,0.440057810948112,0.297878684401178,0.596732701892822,2.32781880774023e-17,NA,0.17751200539241,0.268794731498539,0.190684342134906,0.344186470436859,0.268794731498539,0.190696129974739,0.344186470631226,0.211245416849045,0.136472984460214,0.295452651848943,0.519959851652416,0.459614381766914,0.584818432705844,0.480040148347584,0.415181567164905,0.540385618157768,"OK",0.429643762377454,0.343385426312857,0.172516672129194
"cervicalSpine_CS5H_c4base_c5base_distance",4,"CS5H",340,9,1256,1247,840.426861746454,-3934.26832341347,3334.42686174645,"OK","ACE","C","familiality","corrected",0.603266179210182,0.329556549511707,0.201409979659617,0,0.306478363026031,-0.68217691353675,0.250983112579747,0.0205479607261179,NA,0.269895590354696,-1.98643967038788,0.907296839196303,0.145968983402977,NA,0.23331932733654,14.9367943566549,3.86452109477659e-05,0.547418431860344,1.97580539179183e-29,0.786774923232521,0.0558479398966681,8.54007225580461e-31,0.696973813701354,0.603266371757012,0.407223911563113,0.78491190656204,0.396733628242988,0.215088093538511,0.592776088864257,0.216763414163766,1.7923478155276e-31,0.314733665381729,0.0221143268502567,NA,0.279520993085398,0.238877741014023,0.160080588992701,0.314719942378975,0.157096164042697,0.0778798944997145,0.246082319713973,0.60402609494328,0.538279052790078,0.673794486751129,0.39597390505672,0.326205513408409,0.461720947000187,"OK",0.308485923859863,0.167602994693811,0.281765858332103
"cervicalSpine_CS6H_c5base_c6base_distance",5,"CS6H",340,9,1254,1245,700.680221939622,-4066.35707198509,3190.68022193962,"OK","ADE","D","broad sense heritability","corrected",0.652125401275857,0.325008625247721,0.302838676886395,1.43115752256037e-44,0.398765592299629,-1.41754495929035,0.445351629118283,0.00197912762593325,NA,0.391848723350432,-1.99997363041302,0.995902774975646,0.162603934348067,NA,0.241167634471388,26.291887047707,1.04332341689294e-07,0.647891725414259,2.3925462635419e-26,0.784071144082803,0.00423413688622718,NA,0.778775673511262,0.652125862300487,0.501327660434291,0.785942257598433,0.347874137699514,0.2140579079818,0.498672339571549,0.333761005123,5.45446816990968e-28,0.412700888330543,0.00218121289027417,NA,0.408427492523027,0.335942218013274,0.254029666263194,0.412711184368727,0.179207138014687,0.106394525271158,0.262402077510367,0.484850643972039,0.427173644259255,0.547109281689643,0.515149356027961,0.452890718323144,0.572826355725973,"OK",0.416146106283302,0.141409443115863,0.549473326334878
"cervicalSpine_CS7H_c6base_c7base_distance",6,"CS7H",340,9,1252,1243,522.481341732046,-4236.89806095744,3008.48134173205,"OK","ACE","C","familiality","corrected",0.652257546443381,0.525363838209187,0.153685917007393,2.42899838749694e-42,0.478187532365294,-1.20446816861477,0.372432645120367,0.241307918826145,0,0.475871031562389,-0.553787942508279,0.229136733778754,0.210586316849567,0.149020493369129,0.286159411492665,66.2706888479502,1.42523837955291e-16,0.253782949005952,2.15024449106762e-34,0.737886377518675,0.398473955523472,1.24629404400581e-38,0.718451630387643,0.652256904529425,0.533783865416105,0.751293005123244,0.347743095470575,0.248706994833496,0.466215999742004,0.167284920382696,3.37179684922717e-33,0.492604123475007,0.262660214901823,NA,0.48282906370336,0.429945135284518,0.346799745725207,0.50512926819465,0.229220190983213,0.162537857564714,0.308218900372083,0.340834673732269,0.296040333309919,0.390143541882912,0.659165326267731,0.609856458133834,0.703959666877393,"OK",0.515007712598579,0.32666674306727,0.376681939062617
"denition_DAII_incisionInfApexInfLine_nsaNspLine_angle",86,"DAII",340,9,1261,1252,594.185613812422,-4199.65429943556,3098.18561381242,"OK","ADE","D","broad sense heritability","corrected",0.643315668089385,-0.283791830073269,1.0046645279221e-11,NA,0.271559446776919,-2.00000000038153,1,0.404678989934036,0.131652124558363,0.517893099907693,4.01349869816249,0.0141968513716214,0.235659607086943,0.168560029894175,0.318229342103948,74.3127428466278,2.42116497633657e-18,1.56895825517983e-11,NA,0.373259675140488,0.631976569599831,0.194618922223411,0.735472940480985,0.63197656961552,0.507327058748736,0.735472940513326,0.36802343038448,0.264527059510785,0.492672950173688,1.04105555932729e-11,NA,0.259319218844646,0.419337301661403,0.130576004097546,0.497898517355685,0.419337301671814,0.3315806579719,0.497898517398108,0.244195686468757,0.174635987616239,0.327560184590354,0.336467011859429,0.292644834354376,0.384630947596409,0.663532988140571,0.61536905223045,0.707355165628248,"OK",0.445993410743284,-0.117544782635348,1.12707638675726
"denition_DAIM_incisionInfApexInfLine_mentonGonionMeanLine_angl",87,"DAIM",340,9,1260,1251,609.28002306661,-4180.73094456376,3111.28002306661,"OK","ADE","D","broad sense heritability","corrected",0.706537036409509,0.00256461710648929,3.45858611011618e-15,NA,0.423806370473549,-2.00000000000273,1,0.400782575212037,0.306845052804634,0.50726135217957,1.52618392526983,0.0604066687943884,0.170320101910739,NA,0.244594410590005,38.2479223256391,2.23693115311552e-10,6.0559795088697e-15,NA,0.718672698542945,0.701769736452967,0.576450802540266,0.805613290463077,0.701769736452973,0.576447544368675,0.805613290402645,0.298230263547027,0.194386709424733,0.423552459463069,3.71046482406171e-15,NA,0.443761051715577,0.429970398328806,0.347227060079985,0.50447231812549,0.42997039832881,0.347227062251757,0.504472318123553,0.182724016939158,0.117616860682028,0.260906369561292,0.387305584732032,0.337986499056738,0.441329206357589,0.612694415267968,0.558670793656514,0.662013500933517,"OK",0.498927974500264,-0.0116632098755267,1.02118236875158
"denition_DAIP_incInfApexInfLine_pogGonMeanLine_angle",88,"DAIP",340,9,1260,1251,607.615037595354,-4182.39593003502,3109.61503759535,"OK","ADE","D","broad sense heritability","corrected",0.70481378797945,-0.00159233676937019,1.17641929665575e-12,NA,0.427539586499092,-2.00000000001501,1,0.396472305837173,3.34075275749728e-45,0.501484160630645,1.33081141047933,0.067993322875268,0.169637968816652,NA,0.243353794641882,38.5817213359051,1.88562356938905e-10,2.07807444825602e-12,NA,0.726221086189777,0.700344656487274,8.85777220251515e-28,0.80113832816394,0.700344656489352,0.57585924836899,0.80381034525874,0.299655343510648,0.19618965479215,0.42414074901653,1.26784189488008e-12,NA,0.447007301193649,0.427283198200689,0.34539839052388,0.501296947946349,0.427283198201957,0.345399009234946,0.501296947945348,0.182820975854026,0.117483258896014,0.260311639739071,0.389895825944017,0.340369182086616,0.443980019819426,0.610104174055983,0.556019980218577,0.659630817905481,"OK",0.491089941383526,-8.83517700636548e-06,0.982197553121064
