"phenotype_number","phenotype_name","phenotype_name_short","AIC_1r","AIC_2r","deltaAIC","p","statusCode_2r","statusCode_1r"
1,"cervicalSpine_CS2H_atlas_c2base_distance","CS2H",3060.43138236845,3062.39838602905,-1.96700366059895,0.855858234835018,"OK","OK"
2,"cervicalSpine_CS3H_c2base_c3base_distance","CS3H",3001.48949571456,3000.67127960867,0.81821610589077,0.0931999323369749,"OK","OK"
3,"cervicalSpine_CS4H_c3base_c4base_distance","CS4H",3068.11106258867,3068.78975078911,-0.678688200441684,0.250356759338505,"OK","OK"
4,"cervicalSpine_CS5H_c4base_c5base_distance","CS5H",3352.42686174645,3354.29555174945,-1.86869000299703,0.717077637267884,"OK","OK"
5,"cervicalSpine_CS6H_c5base_c6base_distance","CS6H",3208.68022193782,3210.65869588422,-1.97847394639302,0.88335492761073,"OK","OK"
6,"cervicalSpine_CS7H_c6base_c7base_distance","CS7H",3026.48134173155,3027.01794172071,-0.536599989154638,0.226389917344362,"OK","OK"
7,"cervicalSpine_CS2A_c2base_odontoid_distance","CS2A",2881.55789823982,2881.61626650036,-0.0583682605438298,0.163491471870675,"OK","OK"
8,"hyoidBone_HBNP_nsp_hyoidale_distance","HBNP",2358.3048151278,2357.65727012047,0.647545007334429,0.103709949373319,"OK","OK"
9,"hyoidBone_HBC2_c2base_hyoidale_distance","HBC2",2598.20165994253,2598.71351309699,-0.511853154464916,0.222504209956642,"OK","OK"
10,"hyoidBone_HBC3_c3base_hyoidale_distance","HBC3",2890.71338348842,2892.62890486013,-1.91552137170675,0.771317428962171,"OK","OK"
11,"hyoidBone_HBC4_c4base_hyoidale_distance","HBC4",2828.11882057201,2830.04440029392,-1.92557972191844,0.785006342314191,"OK","OK"
12,"hyoidBone_HBPG_pogonion_hyoidale_distance","HBPG",2766.12479571105,2764.62587627438,1.49891943666216,0.0614088846047677,"OK","OK"
13,"larynx_LEPL_epiglottisApex_epiglottisPetiole_distance","LEPL",3374.3026775296,3376.26200430753,-1.95932677792644,0.840170000899284,"OK","OK"
14,"larynx_LACT_atlas_corniculateTubercle_distance","LACT",2597.76118415014,2599.65377026409,-1.89258611395189,0.743107820088387,"OK","OK"
15,"larynx_LAEP_atlas_epiglottisPetiole_distance","LAEP",2816.75880006523,2818.71196921015,-1.95316914491559,0.828672553491135,"OK","OK"
16,"larynx_LAEA_atlas_epiglottisApex_distance","LAEA",2824.70152570647,2825.98248719744,-1.28096149096837,0.396459476808045,"OK","OK"
17,"larynx_L2CT_c2base_corniculateTubercle_distance","L2CT",2893.2895590378,2894.24392667978,-0.954367641973477,0.306515142820421,"OK","OK"
